time,value
0.0,591270.2023161928
0.002,799485.0611186331
0.004,891523.4956425367
0.006,1233311.514635706
0.008,1524632.7003038488
0.01,1703012.0581924382
0.012,1793795.80185056
0.014,1833387.3589851824
0.016,1847689.2093196183
0.018000000000000002,1851223.0740931276
0.020000000000000004,1850964.8007928203
0.022000000000000006,1849791.3739188672
0.024000000000000007,1848667.9699430864
0.02600000000000001,1847796.393209992
0.02800000000000001,1847136.3750388573
0.030000000000000013,1846606.6904961653
0.032000000000000015,1846144.586752033
0.034000000000000016,1845713.1830385278
0.03600000000000002,1845293.9811631166
0.03800000000000002,1844879.081731081
0.04000000000000002,1844465.6800044803
0.04200000000000002,1844053.0668865312
0.044000000000000025,1843641.2744022303
0.04600000000000003,1843230.4705177976
0.04800000000000003,1842820.90213951
0.05000000000000003,1842412.6038410133
0.05200000000000003,1842005.7046105089
0.054000000000000034,1841600.1636504047
0.056000000000000036,1841196.0184101742
0.05800000000000004,1840793.2891635417
0.06000000000000004,1840392.0381056662
0.06200000000000004,1839992.192599144
0.06400000000000004,1839593.7763535168
0.06600000000000004,1839196.854148199
0.06800000000000005,1838801.3545152666
0.07000000000000005,1838407.3011733242
0.07200000000000005,1838014.7583674279
0.07400000000000005,1837623.6537227964
0.07600000000000005,1837234.0603308817
0.07800000000000006,1836845.9102637537
0.08000000000000006,1836459.2782866259
0.08200000000000006,1836074.1472200823
0.08400000000000006,1835690.5107484825
0.08600000000000006,1835308.3679984156
0.08800000000000006,1834927.720546612
0.09000000000000007,1834548.5706316668
0.09200000000000007,1834170.9206052828
0.09400000000000007,1833794.8228628628
0.09600000000000007,1833420.1986360445
0.09800000000000007,1833047.116635874
0.10000000000000007,1832675.5562580687
0.10200000000000008,1832305.4584396377
0.10400000000000008,1831936.857765358
0.10600000000000008,1831569.806260861
0.10800000000000008,1831204.3317432918
0.11000000000000008,1830840.343225976
0.11200000000000009,1830477.903641574
0.11400000000000009,1830116.9392479474
0.11600000000000009,1829757.5202511009
0.11800000000000009,1829399.6257689476
0.12000000000000009,1829043.2458816585
0.1220000000000001,1828688.376195711
0.1240000000000001,1828335.0147254227
0.12600000000000008,1827983.160335353
0.12800000000000009,1827632.8622304448
0.1300000000000001,1827284.089007624
0.1320000000000001,1826936.7756154954
0.1340000000000001,1826590.9958760322
0.1360000000000001,1826246.729897598
0.1380000000000001,1825903.9673836573
0.1400000000000001,1825562.7029736969
0.1420000000000001,1825222.9837415076
0.1440000000000001,1824884.7269096004
0.1460000000000001,1824547.997160952
0.1480000000000001,1824212.7201620447
0.1500000000000001,1823878.9640839524
0.1520000000000001,1823546.7058791285
0.1540000000000001,1823215.9334131235
0.1560000000000001,1822886.5899473454
0.1580000000000001,1822558.801987162
0.16000000000000011,1822232.4693494213
0.16200000000000012,1821907.5973580747
0.16400000000000012,1821584.1877670235
0.16600000000000012,1821262.2397361984
0.16800000000000012,1820941.8011738013
0.17000000000000012,1820622.7888559299
0.17200000000000013,1820305.266174424
0.17400000000000013,1819989.1576764884
0.17600000000000013,1819674.5301493232
0.17800000000000013,1819361.3093471678
0.18000000000000013,1819049.5622689666
0.18200000000000013,1818739.21462721
0.18400000000000014,1818430.3332185112
0.18600000000000014,1818122.8937241514
0.18800000000000014,1817816.8324099816
0.19000000000000014,1817512.2215414098
0.19200000000000014,1817208.9890542892
0.19400000000000014,1816907.202446778
0.19600000000000015,1816606.8374049903
0.19800000000000015,1816307.8300281323
0.20000000000000015,1816010.2521973993
0.20200000000000015,1815714.031624573
0.20400000000000015,1815419.1853784136
0.20600000000000016,1815125.768980943
0.20800000000000016,1814833.7018908833
0.21000000000000016,1814542.997310963
0.21200000000000016,1814253.6592397157
0.21400000000000016,1813965.7367042021
0.21600000000000016,1813679.1462476694
0.21800000000000017,1813393.8498716936
0.22000000000000017,1813109.9311510727
0.22200000000000017,1812827.3724618375
0.22400000000000017,1812546.1119990307
0.22600000000000017,1812266.2216868105
0.22800000000000017,1811987.628808505
0.23000000000000018,1811710.3497309615
0.23200000000000018,1811434.3893169574
0.23400000000000018,1811159.7465406538
0.23600000000000018,1810886.417713864
0.23800000000000018,1810614.3480476437
0.24000000000000019,1810343.5623794084
0.2420000000000002,1810074.069068916
0.2440000000000002,1809805.8682727537
0.2460000000000002,1809538.9564843199
0.2480000000000002,1809273.2788232358
0.25000000000000017,1809008.9098830158
0.25200000000000017,1808745.7780106817
0.25400000000000017,1808483.8995093566
0.25600000000000017,1808223.2290633214
0.2580000000000002,1807963.7951989155
0.2600000000000002,1807705.6574609093
0.2620000000000002,1807448.6863183028
0.2640000000000002,1807192.9742583777
0.2660000000000002,1806938.4581041546
0.2680000000000002,1806685.1576023109
0.2700000000000002,1806433.0785257053
0.2720000000000002,1806182.1698372937
0.2740000000000002,1805932.4572452097
0.2760000000000002,1805683.9490963167
0.2780000000000002,1805436.5953059369
0.2800000000000002,1805190.4218567174
0.2820000000000002,1804945.4371155584
0.2840000000000002,1804701.5909350398
0.2860000000000002,1804458.9092013172
0.2880000000000002,1804217.3503445797
0.2900000000000002,1803976.9438725514
0.2920000000000002,1803737.6994230242
0.2940000000000002,1803499.6171140764
0.2960000000000002,1803262.64314826
0.2980000000000002,1803026.752085192
0.3000000000000002,1802791.9815093046
