Time (s),Pressure (psi)
1.0797101449275361,34233687.40515933
1.2391304347826086,49104704.09711684
1.253623188405797,48376327.7693475
1.5434782608695652,22215477.996965103
1.644927536231884,33566009.1047041
1.9782608695652173,75144157.81487101
1.992753623188406,10318664.643399086
1.992753623188406,70106221.54779969
1.992753623188406,64339908.95295904
1.992753623188406,39393019.72685888
1.992753623188406,72959028.83156298
1.992753623188406,51896813.35356602
1.992753623188406,60091047.04097117
2.6304347826086953,12078907.435508348
2.86231884057971,11957511.380880112
2.963768115942029,15235204.855842186
2.9927536231884058,14142640.364188163
3.0,17481031.866464343
3.0144927536231885,74962063.73292868
3.0144927536231885,16206373.292867977
3.0217391304347823,16874051.593323212
3.028985507246377,20394537.177541737
3.043478260869565,24036418.81638847
3.0507246376811596,18816388.467374805
3.0507246376811596,25614567.52655539
3.0652173913043477,22701062.215478
3.0652173913043477,19544764.79514416
3.0724637681159424,23550834.597875565
3.079710144927536,23065250.37936267
3.079710144927536,21122913.50531108
3.101449275362319,26221547.79969651
3.101449275362319,24582701.062215485
3.1159420289855073,26828528.07283763
3.1231884057971016,29984825.493171472
3.130434782608696,30713201.820940822
3.130434782608696,27981790.59180576
3.130434782608696,32655538.694992412
3.1594202898550723,37693474.96206374
3.1666666666666665,35933232.16995447
3.173913043478261,31745068.28528073
3.173913043478261,35083459.7875569
3.181159420289855,38543247.34446131
3.210144927536232,36843702.57966617
3.217391304347826,42063732.928679824
3.246376811594203,41213960.54628225
3.260869565217391,40364188.16388467
3.2753623188405796,44613050.07587253
3.289855072463768,42974203.338391505
3.289855072463768,43763277.69347496
3.3043478260869565,75144157.81487101
3.333333333333333,45402124.43095599
3.347826086956522,46069802.73141123
3.36231884057971,46555386.949924126
3.4420289855072466,48254931.71471927
3.4782608695652173,47647951.44157815
3.630434782608696,48922610.01517451
3.652173913043478,49347496.20637329
3.6884057971014492,49226100.151745066
3.7898550724637685,49650986.34294385
4.0144927536231885,49044006.06980273
4.065217391304348,49529590.288315624
4.1231884057971016,48801213.960546285
4.2898550724637685,48679817.90591806
4.478260869565217,48558421.85128983
4.4855072463768115,74962063.73292868
4.5,48133535.66009105
4.608695652173913,47830045.523520485
4.63768115942029,75144157.81487101
4.768115942028985,48012139.60546283
4.905797101449275,47465857.35963581
4.9855072463768115,47040971.16843703
5.963768115942028,74962063.73292868
5.963768115942028,75144157.81487101
7.1521739130434785,6919575.113808799
7.297101449275363,75144157.81487101
7.442028985507246,74962063.73292868
7.804347826086956,1699544.7647951436
8.355072463768115,29317147.192716237
8.557971014492754,28710166.919575114
8.623188405797102,75144157.81487101
8.891304347826086,74962063.73292868
8.978260869565217,27435508.345978748
9.028985507246377,71320182.09408194
9.101449275362318,70773899.84825493
9.13768115942029,71077389.98482549
9.789855072463768,25128983.308042485
9.804347826086957,8983308.042488614
9.94927536231884,75144157.81487101
10.362318840579709,74962063.73292868
10.797101449275363,71866464.33990896
11.181159420289855,21729893.778452206
11.26086956521739,66949924.12746585
11.282608695652174,75144157.81487101
11.376811594202898,5644916.540212444
11.608695652173912,63186646.433990896
11.869565217391305,74962063.73292868
11.978260869565217,18148710.166919567
12.492753623188406,67799696.50986344
12.536231884057973,71623672.23065251
12.608695652173914,75144157.81487101
