Time (s),Pressure (psi)
1.2173913043478262,47951441.578148715
1.4782608695652175,23550834.597875565
1.9710144927536233,28831562.97420334
1.9710144927536233,30045523.520485584
1.9782608695652173,75144157.81487101
2.427536231884058,9286798.179059178
2.6231884057971016,71380880.12139606
2.739130434782609,71623672.23065251
2.86231884057971,71866464.33990896
2.9057971014492754,72109256.4491654
2.942028985507246,71016691.95751138
2.949275362318841,68710166.91957511
2.949275362318841,67799696.50986344
2.9782608695652177,65007587.25341427
3.0144927536231885,64218512.8983308
3.108695652173913,63672230.652503796
3.1666666666666665,9044006.069802731
3.173913043478261,63915022.76176025
3.2681159420289854,65553869.49924127
3.420289855072464,64643399.08952959
3.652173913043478,62154779.969650984
3.746376811594203,61122913.50531108
3.8695652173913047,60091047.04097117
3.9347826086956523,59059180.57663126
4.021739130434783,58088012.13960546
4.202898550724638,57298937.784522004
4.260869565217392,56267071.32018209
4.326086956521739,55295902.88315631
4.507246376811594,54324734.44613051
4.644927536231884,53292867.981790595
4.659420289855073,52139605.46282247
4.86231884057971,51047040.971168436
4.956521739130435,50257966.61608498
4.963768115942029,49650986.34294385
5.202898550724638,49165402.124430954
5.231884057971015,48679817.90591806
5.289855072463768,46858877.08649469
5.398550724637682,9286798.179059178
5.456521739130435,45098634.29438543
5.507246376811594,45948406.676783
5.63768115942029,44127465.85735963
5.782608695652174,43216995.44764795
5.920289855072463,42306525.03793627
5.971014492753623,41335356.60091047
6.1521739130434785,40424886.19119878
6.195652173913043,9044006.069802731
6.282608695652174,39514415.78148711
6.297101449275362,38664643.39908953
6.543478260869565,37875569.04400607
6.644927536231884,37025796.6616085
6.8188405797101455,36236722.306525044
6.963768115942029,35447647.95144158
7.057971014492753,34719271.623672225
7.159420289855072,34051593.32321699
7.1811594202898545,33383915.022761762
7.507246376811595,32716236.722306523
7.644927536231884,32048558.42185129
7.797101449275362,31380880.121396057
7.797101449275362,30713201.820940822
8.079710144927537,1699544.7647951436
8.08695652173913,29438543.247344468
8.333333333333334,9286798.179059178
8.442028985507246,28285280.728376336
8.623188405797102,27738998.48254931
8.67391304347826,27192716.236722298
8.927536231884057,26707132.018209405
9.021739130434783,62701062.215477996
9.072463768115943,26221547.79969651
9.101449275362318,63004552.35204856
9.144927536231885,25735963.581183616
9.18840579710145,9044006.069802731
9.485507246376812,25311077.389984824
9.579710144927535,24886191.198786035
9.673913043478262,63247344.46130501
9.746376811594203,23975720.789074354
9.86231884057971,24461305.007587247
9.884057971014492,70166919.5751138
10.01449275362319,5705614.567526561
10.181159420289855,23186646.433990892
10.384057971014492,22397572.078907434
10.44927536231884,22822458.270106222
10.731884057971014,22033383.91502276
10.96376811594203,21669195.75113809
11.05072463768116,20758725.341426406
11.108695652173912,21244309.559939303
11.18840579710145,20273141.122913513
11.27536231884058,9286798.179059178
11.347826086956522,19666160.849772383
11.478260869565217,66585735.96358118
11.507246376811594,18998482.549317144
11.753623188405797,18330804.24886191
11.920289855072465,63490136.57056146
11.927536231884057,17663125.948406674
11.963768115942027,16995447.647951435
11.985507246376812,67253414.26403642
12.094202898550725,16388467.374810318
12.22463768115942,9044006.069802731
12.384057971014492,15295902.883156294
12.485507246376812,15902883.156297423
12.826086956521738,7344461.305007587
