Time (s),Pressure (psi)
2.4927536231884058,12564491.654021254
2.6159420289855073,12443095.599393018
2.7318840579710146,12867981.790591808
2.7608695652173916,12321699.544764794
2.9057971014492754,12746585.735963583
2.9202898550724634,22822458.270106222
2.942028985507246,41760242.79210926
2.942028985507246,54203338.391502276
2.942028985507246,38846737.48103187
2.949275362318841,12200303.490136571
2.963768115942029,14324734.446130503
2.963768115942029,31745068.28528073
2.9782608695652177,58209408.194233686
2.9855072463768115,57723823.97572079
3.101449275362319,59484066.767830044
3.108695652173913,59180576.631259486
3.2318840579710146,62276176.02427921
3.2391304347826084,60515933.232169956
3.2681159420289854,60758725.34142641
3.333333333333333,61729893.778452195
3.413043478260869,61365705.614567526
3.427536231884058,60273141.12291351
3.434782608695652,61062215.47799696
3.5217391304347823,60030349.013657056
3.5434782608695654,59787556.9044006
3.6159420289855073,58452200.30349015
3.6376811594202896,58694992.41274659
3.652173913043478,58937784.52200304
3.7536231884057973,57420333.83915023
3.7898550724637685,58027314.11229136
3.8768115942028984,56995447.64795144
3.9202898550724634,56327769.347496204
3.9420289855072466,56691957.51138088
3.963768115942029,55963581.18361153
4.065217391304348,55660091.04704096
4.101449275362319,54992412.74658574
4.108695652173913,55356600.91047041
4.13768115942029,54567526.55538695
4.246376811594203,53292867.981790595
4.268115942028985,52867981.790591806
4.282608695652174,53899848.25493172
4.318840579710145,52503793.62670712
4.463768115942028,52261001.517450675
4.579710144927537,51289833.08042489
4.615942028985508,51654021.24430956
4.63768115942029,51957511.380880125
4.644927536231884,50500758.725341424
4.666666666666666,50925644.91654021
4.739130434782608,49893778.4522003
4.746376811594203,50197268.58877087
4.869565217391305,48437025.79666161
4.8768115942028984,49104704.09711684
4.891304347826087,49529590.288315624
4.963768115942029,47344461.305007584
4.963768115942029,47890743.550834596
5.065217391304348,46858877.08649469
5.173913043478261,46373292.86798179
5.173913043478261,45887708.64946889
5.22463768115942,45584218.51289833
5.297101449275362,45220030.34901366
5.398550724637682,44309559.93930197
5.44927536231884,44795144.157814875
5.550724637681159,43338391.502276175
5.557971014492754,43884673.74810319
5.6521739130434785,42792109.25644917
5.77536231884058,42245827.01062216
5.833333333333334,41396054.62822458
5.949275362318841,40789074.35508346
5.992753623188406,40121396.05462822
6.094202898550725,39453717.75417299
6.289855072463768,38482549.317147195
6.391304347826087,37754172.98937785
6.478260869565217,36965098.63429439
6.536231884057971,36418816.38846738
6.702898550724638,35872534.14264036
6.804347826086957,34901365.70561457
6.913043478260869,34415781.48710167
7.094202898550725,33505311.077389985
7.246376811594203,32898330.804248862
7.77536231884058,30409711.68437026
8.666666666666668,28163884.673748113
9.021739130434783,68103186.646434
9.050724637681158,67617602.42792109
9.050724637681158,67253414.26403642
9.079710144927535,66889226.10015175
9.166666666666666,26525037.936267063
9.507246376811594,25614567.52655539
9.789855072463768,24825493.17147193
10.043478260869565,24157814.871016696
10.260869565217392,23611532.62518968
10.478260869565219,23186646.433990892
10.818840579710145,22458270.10622155
10.927536231884059,21972685.887708656
11.13768115942029,21487101.66919575
11.282608695652174,20880121.39605463
11.521739130434783,19969650.986342937
11.840579710144926,18452200.303490132
12.152173913043478,17359635.81183612
12.253623188405797,16752655.538694989
12.376811594202898,16327769.3474962
