time,P_atm,Alt
0.0,101325.0,295.0
0.00018059785780928886,101324.99787918672,295.0000008277743
0.0003611957156185777,101324.99575837344,295.0000025215262
0.0007223914312371554,101324.99151674689,295.0000077173936
0.001083587146855733,101324.98727512032,295.00001668280646
0.0014447828624743109,101324.98303349377,295.0000297234055
0.005056740018660088,101324.9406172282,295.0004440589848
0.0056589997160148954,101324.93354471705,295.0005760020365
0.006261259413369703,101324.9264722059,295.00073019983205
0.0068635191107245105,101324.91939969474,295.0009089270592
0.008068038505434126,101324.90525467244,295.00134721070026
0.009272557900143742,101324.89110965014,295.0019057498829
0.010477077294853357,101324.87696462784,295.00259311488816
0.011681596689562972,101324.86281960554,295.00341430223887
0.01402757144325482,101324.83527014029,295.0054081005496
0.01637354619694667,101324.80772067503,295.007930350947
0.01871952095063852,101324.78017120979,295.0109807295763
0.02106549570433037,101324.75262174453,295.01455767244005
0.032842923171271,101324.61431598134,295.04043219267436
0.04462035063821163,101324.47601021813,295.0794601553467
0.056397778105152264,101324.33770445496,295.13156156221567
0.08804420575642605,101323.96607123202,295.3356836721654
0.11969063340769984,101323.59443800924,295.6324616241453
0.15133706105897363,101323.22280478668,296.0209052642887
0.21277176238011924,101322.50135918605,297.0344613145353
0.2570177416042403,101321.9817657589,297.97485485037413
0.3012637208283613,101321.46217233264,299.0912230340159
0.3273641045245815,101321.15566792231,299.8322152438395
0.33047970889728684,101321.11908047243,299.9251903676532
0.3335953132699922,101321.08249302256,300.0190370677429
0.33982652201540287,101321.00931812283,300.20847362251277
0.34605773076081353,101320.93614322311,300.4013964963519
0.3522889395062242,101320.86296832342,300.59780571904577
0.40408997897844867,101320.25465362621,302.36555704970704
0.45589101845067315,101319.64633893088,304.3743049839853
0.5076920579228976,101319.03802423766,306.6241316885483
0.5594930973951221,101318.42970954679,309.1151305252225
0.6112941368673466,101317.82139485853,311.8474046497666
0.663095176339571,101317.21308017311,314.82106209572544
0.7148962158117955,101316.60476549077,318.03620711362663
0.7769092817508401,101315.87652801399,322.20290465977087
0.8389223476898846,101315.14829054238,326.715945445547
0.9009354136289291,101314.42005307633,331.57539136788677
0.9629484795679737,101313.6918156163,336.7812234161607
1.0249615455070182,101312.96357816269,342.33332601144
1.036387696017789,101312.82939755765,343.39408549812026
1.0478138465285596,101312.69521695287,344.46659155202747
1.0592399970393302,101312.5610363483,345.5508422532768
1.070666147550101,101312.426855744,346.6468355674701
1.0966236938928844,101312.1220287385,349.1803043894765
1.1225812402356679,101311.81720173427,351.77433730329227
1.1485387865784513,101311.51237473138,354.42890441061144
1.1744963329212348,101311.2075477298,357.1439734670487
1.195205286906626,101310.96435647282,359.35342388379325
1.2159142408920174,101310.72116521672,361.6013433676276
1.2366231948774087,101310.47797396152,363.8877135922002
1.2573321488628,101310.23478270724,366.2125161117696
1.2885662131423394,101309.86799203123,369.79152982304464
1.3198002774218789,101309.50120135739,373.4578645845111
1.3510343417014183,101309.13441068579,377.2114601401943
1.3822684059809578,101308.76762001646,381.05225984742805
1.4313475717585464,101308.19126915297,387.26348868675734
1.480426737536135,101307.61491829547,393.68973028237195
1.5295059033137237,101307.03856744413,400.330845479779
1.5785850690913124,101306.46221659918,407.1867316597134
1.627664234868901,101305.88586576079,414.2573196558912
1.6521695218390944,101305.59809309102,417.8680227210553
1.6766748088092878,101305.31032042297,421.5322383651144
1.7011800957794811,101305.02254775666,425.2499652824787
1.7256853827496745,101304.73477509212,429.02120364997825
1.7455222615667272,101304.50182489456,432.1131898656544
1.7653591403837798,101304.26887469817,435.24024321660653
1.7851960192008325,101304.035924503,438.40236536802144
1.8050328980178851,101303.80297430903,441.59955843097
1.8397042858051234,101303.39581819714,447.27191706069726
1.8743756735923616,101302.98866208908,453.05143650043766
1.9090470613795998,101302.58150598491,458.9381342656267
1.943718449166838,101302.17434988474,464.93202879225544
1.9880221436620569,101301.65407883642,472.7471637158478
2.0323258381572757,101301.13380779487,480.7373919405507
2.0766295326524946,101300.61353676024,488.90273201357417
2.1209332271477135,101300.09326573265,497.2431824952938
2.1652369216429324,101299.57299471227,505.7587167567493
2.2095406161381512,101299.05272369925,514.4492823968666
2.25384431063337,101298.53245269373,523.3148065953038
2.298148005128589,101298.01218169587,532.3551958549498
2.3386917208281304,101297.53606521482,540.7814796911505
2.3792354365276718,101297.05994874043,549.3540089425984
2.419779152227213,101296.5838322728,558.0726666201881
2.4603228679267546,101296.10771581205,566.9373176156539
2.500866583626296,101295.63159935831,575.9478048461202
2.5098825961229774,101295.52572174488,577.9713385224092
2.5188986086196588,101295.41984413181,580.0020730305416
2.52791462111634,101295.31396651908,582.0400061427563
2.5369306336130215,101295.20808890673,584.085135575621
2.566491034532289,101294.86095267013,590.8408569312018
2.5960514354515567,101294.51381643741,597.6738219887999
2.6256118363708243,101294.16668020863,604.5839365790049
2.655172237290092,101293.8195439838,611.5711034299785
2.698121159663632,101293.31518253751,621.8600078385067
2.7410700820371723,101292.81082109982,632.3110625828598
2.7840190044107125,101292.30645967089,642.9239606069917
2.8269679267842527,101291.80209825086,653.6983997040257
2.869916849157793,101291.29773683984,664.6340936066154
2.912865771531333,101290.79337543799,675.7307793468661
2.9558146939048733,101290.28901404545,686.9882224339386
2.9987636162784135,101289.78465266235,698.4062153589674
3.0322927925397867,101289.39091003753,707.4314235319907
3.0598104713278054,101289.06776213666,714.911419234104
3.087328150115824,101288.7446142398,722.4570865138145
3.1148458289038428,101288.42146634698,730.0683499931916
3.1423635076918615,101288.09831845824,737.74513360596
3.16988118647988,101287.77517057363,745.4873592331189
3.2016502786749315,101287.40209714416,754.5070203792914
3.2334193708699828,101287.02902372029,763.6136597813282
3.265188463065034,101286.65595030205,772.8071283747975
3.2969575552600854,101286.28287688953,782.0872651878107
3.3287266474551367,101285.90980348276,791.4538979819201
3.360495739650188,101285.5367300818,800.9068434109648
3.406604272054346,101284.99526460464,814.7796533838216
3.452712804458504,101284.45379914001,828.8331681573608
3.4898451766647516,101284.01774325848,840.2815586790304
3.5269775488709993,101283.58168738526,851.8459004875413
3.564109921077247,101283.14563152049,863.5254355956724
3.601242293283495,101282.7095756642,875.3194165783741
3.6383746654897426,101282.27351981652,887.227161109946
3.6755070376959904,101281.83746397751,899.2479891211157
3.712639409902238,101281.40140814729,911.3811618815439
3.749771782108486,101280.96535232592,923.6259034136999
3.7869041543147337,101280.5292965135,935.9814526873099
3.8240365265209815,101280.09324071014,948.4470723893232
3.8611688987272292,101279.65718491588,961.0220181734462
3.898301270933477,101279.22112913085,973.7055167517121
3.9354336431397248,101278.78507335513,986.4967716959213
3.9725660153459725,101278.3490175888,999.3949758810887
4.009698387552221,101277.91296183194,1012.3994186205892
4.040141607463011,101277.55545865491,1023.1400648383469
4.070584827373801,101277.19795548437,1033.951559721957
4.101028047284591,101276.84045232036,1044.8337440574944
4.131471267195381,101276.48294916294,1055.7864175344528
4.161914487106171,101276.12544601213,1066.80933763429
4.192357707016961,101275.767942868,1077.9022642873522
4.225980160128321,101275.37310511767,1090.2347353034695
4.259602613239681,101274.97826737561,1102.6520480105924
4.293225066351042,101274.58342964188,1115.1539047630927
4.326847519462402,101274.18859191655,1127.739995474871
4.360469972573762,101273.7937541997,1140.4100135380927
4.394092425685122,101273.39891649138,1153.1636647140258
4.432461168147484,101272.94834181314,1167.8194885334965
4.470829910609846,101272.49776714623,1182.5834550545148
4.509198653072208,101272.04719249069,1197.4551842480198
4.54756739553457,101271.59661784665,1212.4343037894746
4.585936137996932,101271.14604321419,1227.5204425223715
4.624304880459294,101270.69546859343,1242.71322808121
4.668647013798137,101270.17474682703,1260.4036329660858
4.712989147136979,101269.65402507652,1278.2353777057065
4.757331280475822,101269.13330334205,1296.2078566994699
4.801673413814664,101268.61258162378,1314.3204529622378
4.846015547153507,101268.09185992186,1332.5725392134582
4.890357680492349,101267.57113823642,1350.9634815836262
4.939615187212137,101266.99269400917,1371.5551053449997
4.988872693931925,101266.41424980268,1392.3164221759369
5.038130200651713,101265.83580561713,1413.2465617203927
5.087387707371501,101265.25736145274,1434.3446540909479
5.136645214091288,101264.67891730973,1455.6098307667694
5.185902720811076,101264.10047318829,1477.0412222587543
5.235160227530864,101263.52202908864,1498.637952109233
5.284417734250652,101262.94358501096,1520.3991301757235
5.3336752409704395,101262.36514095549,1542.3238480574887
5.382932747690227,101261.78669692243,1564.411178586853
5.432190254410015,101261.20825291197,1586.6601785020757
5.481447761129803,101260.62980892432,1609.069892847379
5.530705267849591,101260.05136495971,1631.6393598932348
5.5799627745693785,101259.47292101833,1654.3676153849003
5.629220281289166,101258.89447710037,1677.253695516588
5.678477788008954,101258.31603320607,1700.2966379011493
5.727735294728742,101257.73758933562,1723.4954796943878
5.77699280144853,101257.15914548922,1746.8492536690683
5.831356488214154,101256.5207384568,1772.8026329369616
5.885720174979778,101255.88233145422,1798.9422137331978
5.940083861745403,101255.24392448177,1825.266649168245
5.994447548511027,101254.60551753969,1851.7745749709534
6.048811235276651,101253.96711062829,1878.4646133487001
6.1031749220422755,101253.32870374783,1905.3353780491495
6.168340063869604,101252.56345261891,1937.7812612676594
6.233505205696933,101251.79820153532,1970.4824159502705
6.285688718770567,101251.18539710256,1996.8515740728976
6.337872231844201,101250.57259269943,2023.3816447499526
6.390055744917834,101249.95978832619,2050.071354612298
6.442239257991468,101249.34698398305,2076.919387632257
6.494422771065102,101248.7341796703,2103.9243911265407
6.502529224312873,101248.63898352355,2108.1334831163445
6.50382607689455,101248.6237542532,2108.8072405937633
6.505122929476228,101248.60852498286,2109.481094009833
6.507716634639582,101248.57806644225,2110.8289926664943
6.508235375672253,101248.57197473414,2111.098627232011
6.508748235169298,101248.5659520944,2111.3652199203716
6.509261094666343,101248.55992945467,2111.6318270469606
6.514389689636789,101248.49970305746,2114.2984188427113
6.516997209142165,101248.46908229179,2115.654519158023
6.519604728647541,101248.43846152618,2117.010727112297
6.522212248152917,101248.40784076066,2118.3670010735837
6.525539611020425,101248.36876669135,2120.0977552073577
6.528866973887933,101248.32969262215,2121.828546225158
6.532194336755441,101248.29061855309,2123.5593694340205
6.535521699622949,101248.25154448416,2125.2902205432024
6.543171543907604,101248.16171041637,2129.2696681959274
6.55082138819226,101248.07187634926,2133.2492447289906
6.558471232476915,101247.9820422828,2137.22894010098
6.623456610619505,101247.21890249124,2171.039378057842
6.688441988762095,101246.45576274808,2204.851823999569
6.753427366904686,101245.69262305382,2238.6604999948313
6.773273060032556,101245.4595700813,2248.983743285958
6.793118753160427,101245.22651711336,2259.305954826079
6.812964446288298,101244.99346415007,2269.6269821581454
6.8482402622728875,101244.57921138668,2287.969220559841
6.883516078257477,101244.16495863802,2306.3064100931883
6.918791894242067,101243.7507059042,2324.6377332713105
6.960489375472615,101243.26104196778,2346.29742921804
7.002186856703163,101242.77137805232,2367.9465185345007
7.043884337933711,101242.28171415794,2389.5837393329543
7.062620057082933,101242.06169595434,2399.3017257464417
7.081355776232155,101241.84167775503,2409.0169564632747
7.100091495381378,101241.62165956001,2418.729322962682
7.178508757001276,101240.70078626223,2459.3465317523264
7.258419764609378,101239.76237161447,2500.676096024741
7.322202400565804,101239.01335646566,2533.6144251401793
7.38598503652223,101238.26434136841,2566.504559524159
7.449767672478656,101237.51532632318,2599.3429086034607
7.513550308435082,101236.76631133042,2632.126002258599
7.593981317651985,101235.82179052051,2673.382123884809
7.674412326868888,101234.87726979564,2714.5386237009707
7.7548433360857905,101233.93274915674,2755.5893412910477
7.835274345302693,101232.98822860468,2796.528406664024
7.91923033029895,101232.0023135137,2839.1365267657393
8.003186315295206,101231.01639851938,2881.6108429287456
8.087142300291463,101230.0304836227,2923.9455907502693
8.17109828528772,101229.04456882471,2966.1352874603513
8.255054270283976,101228.05865412642,3008.1747195257094
8.339010255280233,101227.07273952887,3050.0589372332743
8.422966240276489,101226.08682503307,3091.7832657644117
8.519261117687472,101224.95601220435,3139.4372546399254
8.598733835267083,101224.0227459593,3178.599355589798
8.678206552846694,101223.08947980826,3217.607432178514
8.757679270426305,101222.15621375211,3256.4592220300106
8.822847433282167,101221.39092938142,3288.200298635392
8.832767977401751,101221.27443020973,3293.0229080172835
8.842688521521335,101221.15793103953,3297.843047678785
8.85260906564092,101221.04143187085,3302.6607190405803
8.862529609760504,101220.92493270368,3307.475921244405
8.88237069799967,101220.69193437387,3317.098905700007
8.902211786238837,101220.45893605011,3326.711984264323
8.922052874478004,101220.22593773241,3336.3151398152545
8.975062301855562,101219.60343625167,3361.9230263832656
9.02807172923312,101218.98093481458,3387.459621849311
9.08108115661068,101218.35843342141,3412.9246396269637
9.161155123067541,101217.41810726252,3451.2548636094707
9.225619047741684,101216.66109332346,3481.993072112014
9.290082972415828,101215.90407945077,3512.6239680442604
9.354546897089971,101215.14706564492,3543.1471419533937
9.419010821764115,101214.39005190638,3573.56222275623
9.507605214998945,101213.34966899385,3615.1854513953585
9.596199608233775,101212.30928621051,3656.6030395329008
9.684794001468605,101211.26890355757,3697.814228456347
9.773388394703435,101210.22852103623,3738.8183357054218
9.861982787938265,101209.18813864769,3779.6147513816272
9.950577181173095,101208.14775639314,3820.2029370088935
10.039171574407925,101207.10737427381,3860.582418837602
10.149337756031516,101205.81367041217,3910.5021479992615
10.259503937655106,101204.51996676376,3960.097836789922
10.277112986603875,101204.313180177,3967.995170943579
10.294722035552644,101204.10639359575,3975.8842026713533
10.312331084501412,101203.89960702002,3983.7649293526447
10.329940133450181,101203.69282044984,3991.6373500592326
10.365158231347717,101203.2792473261,4007.357274658618
10.372201850927224,101203.19653270402,4010.4966084766584
10.379245470506731,101203.11381808283,4013.6346136926363
10.393332709665746,101202.94838884313,4019.907967059125
10.395343386715819,101202.92477706457,4020.8028776827127
10.397354063765892,101202.90116528608,4021.6976800521197
10.397434490847894,101202.90022081495,4021.7334719736896
10.397514917929897,101202.8992763438,4021.769263722053
10.397595345011899,101202.89833187267,4021.80505529721
10.397675772093901,101202.89738740154,4021.8408466991605
10.397756199175904,101202.89644293039,4021.876637927905
10.39791705333991,101202.89455398811,4021.948219692569
10.398077907503916,101202.89266504585,4022.019800582338
10.398292096363352,101202.89014978369,4022.1151141212326
10.398506285222789,101202.88763452154,4022.2104261089535
10.400648173817151,101202.86248190004,4023.1634684381775
10.402790062411514,101202.83732927863,4024.1163556923666
10.404931951005876,101202.8121766573,4025.0690879129033
10.426350836949497,101202.56065044855,4034.5878956121915
10.447769722893119,101202.30912424807,4044.0912447384476
10.46918860883674,101202.05759805591,4053.579175761344
10.537117902430833,101201.25989105005,4083.568401550716
10.605047196024925,101200.46218412837,4113.40421912947
10.672976489619018,101199.6644772914,4143.087876775291
10.68269302881669,101199.5503740987,4147.321416629445
10.692409568014362,101199.43627090775,4151.551872025993
