Ma,C_DP
0.9057142857142857,-0.01136986301369863
0.9085714285714286,0.0
0.9371428571428572,0.0
0.9400000000000001,0.01136986301369863
0.96,0.01136986301369863
0.9628571428571429,0.02273972602739726
0.98,0.02273972602739726
0.9828571428571429,0.034109589041095886
1.002857142857143,0.034109589041095886
1.0057142857142858,0.04547945205479452
1.0114285714285716,0.04547945205479452
1.0171428571428571,0.06821917808219177
1.02,0.06821917808219177
1.022857142857143,0.0795890410958904
1.0257142857142858,0.0795890410958904
1.0371428571428571,0.12506849315068494
1.04,0.12506849315068494
1.042857142857143,0.13643835616438355
1.0457142857142858,0.13643835616438355
1.0714285714285714,0.23876712328767122
1.0714285714285714,0.2501369863013699
1.0857142857142859,0.3183561643835616
1.0857142857142859,0.306986301369863
1.0914285714285714,0.3524657534246575
1.0914285714285714,0.3410958904109589
1.1028571428571428,0.4547945205479452
1.1342857142857143,0.5912328767123287
1.137142857142857,0.5912328767123287
1.1428571428571428,0.613972602739726
1.1457142857142857,0.613972602739726
1.16,0.6480821917808219
1.1628571428571428,0.6480821917808219
1.1714285714285715,0.6821917808219178
1.1742857142857144,0.6821917808219178
1.177142857142857,0.6935616438356165
1.1885714285714286,0.6935616438356165
1.1914285714285713,0.704931506849315
1.197142857142857,0.704931506849315
1.2,0.7163013698630137
1.2085714285714286,0.7163013698630137
1.2114285714285713,0.7276712328767123
1.217142857142857,0.7276712328767123
1.22,0.7390410958904109
1.262857142857143,0.7390410958904109
1.2657142857142856,0.7504109589041096
1.2685714285714287,0.7504109589041096
1.282857142857143,0.7845205479452054
1.2885714285714285,0.7845205479452054
1.2914285714285714,0.7958904109589041
1.354285714285714,0.7958904109589041
1.3571428571428572,0.8072602739726027
1.3828571428571428,0.8072602739726027
1.3857142857142857,0.8186301369863014
1.417142857142857,0.8186301369863014
1.42,0.83
1.44,0.83
1.4428571428571428,0.8413698630136986
1.4657142857142857,0.8413698630136986
1.4685714285714284,0.8527397260273972
1.48,0.8527397260273972
1.4828571428571427,0.8641095890410959
1.497142857142857,0.8641095890410959
1.5,0.8754794520547945
1.5171428571428571,0.8754794520547945
1.52,0.8868493150684932
1.54,0.8868493150684932
1.5428571428571427,0.8982191780821918
1.56,0.8982191780821918
1.5628571428571427,0.9095890410958904
1.6257142857142857,0.9095890410958904
1.6285714285714286,0.920958904109589
1.6657142857142855,0.920958904109589
1.6685714285714286,0.9323287671232876
1.7,0.9323287671232876
1.7028571428571428,0.9436986301369863
1.9142857142857141,0.9436986301369863
1.917142857142857,0.9550684931506849
1.937142857142857,0.9550684931506849
1.94,0.9436986301369863
2.0028571428571427,0.9436986301369863
2.0057142857142853,0.9550684931506849
2.031428571428571,0.9550684931506849
2.034285714285714,0.9664383561643836
2.091428571428571,0.9664383561643836
2.0942857142857143,0.9550684931506849
2.142857142857143,0.9550684931506849
2.1457142857142855,0.9436986301369863
2.154285714285714,0.9436986301369863
2.157142857142857,0.9323287671232876
2.168571428571428,0.9323287671232876
2.1714285714285713,0.920958904109589
2.1885714285714286,0.920958904109589
2.1914285714285713,0.9095890410958904
2.26,0.9095890410958904
2.2628571428571425,0.8982191780821918
2.274285714285714,0.8982191780821918
2.2771428571428567,0.8868493150684932
2.3057142857142856,0.8868493150684932
2.3085714285714287,0.8754794520547945
2.3514285714285714,0.8754794520547945
2.354285714285714,0.8641095890410959
2.3828571428571426,0.8641095890410959
2.3857142857142852,0.8527397260273972
2.4228571428571426,0.8527397260273972
2.4257142857142853,0.8413698630136986
2.454285714285714,0.8413698630136986
2.457142857142857,0.83
2.4628571428571426,0.83
