Mach,CD Power-On
2.55,0.4601101802
2.56,0.4589236851
2.57,0.4577478698
2.58,0.4565825334
2.59,0.4554275677
2.6,0.454282795
2.61,0.4531483103
2.62,0.4520239099
2.63,0.4509094317
2.64,0.4498048653
2.65,0.448710032
2.66,0.4476248245
2.67,0.4465492966
2.68,0.4454832343
2.69,0.444426684
2.7,0.443379325
2.71,0.4423412262
2.72,0.4413122789
2.73,0.4402924343
2.74,0.439281478
2.75,0.4382794927
2.76,0.4372862648
2.77,0.4363018307
2.78,0.4353259394
2.79,0.4343586996
2.8,0.433399971
2.81,0.4324496559
2.82,0.431507726
2.83,0.4305740941
2.84,0.4296486139
2.85,0.4287313015
2.86,0.4278220407
2.87,0.4269207614
2.88,0.4260274409
2.89,0.4251419854
2.9,0.4242643457
2.91,0.4233944414
2.92,0.4225321851
2.93,0.4216775581
2.94,0.42083047
2.95,0.4199908683
2.96,0.4191587014
2.97,0.4183339007
2.98,0.4175163962
2.99,0.4167061483
3,0.4159030879
