"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-81.38","48.57","TIMMINS A","6078286","2022-01-01","2022","01","01","","-14.2","","-29.6","","-21.9","","39.9","","0.0","","","M","","M","","M","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2022-01-02","2022","01","02","","-18.7","","-35.0","","-26.9","","44.9","","0.0","","","M","","M","","M","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2022-01-03","2022","01","03","","-8.5","","-30.6","","-19.6","","37.6","","0.0","","","M","","M","","M","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2022-01-04","2022","01","04","","-7.8","","-17.4","","-12.6","","30.6","","0.0","","0.3","","0.0","","0.3","","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2022-01-05","2022","01","05","","-15.9","","-23.5","","-19.7","","37.7","","0.0","","","M","","M","","M","","","36","","51",""
"-81.38","48.57","TIMMINS A","6078286","2022-01-06","2022","01","06","","-18.6","","-25.7","","-22.2","","40.2","","0.0","","","M","","M","","M","","","36","","34",""
"-81.38","48.57","TIMMINS A","6078286","2022-01-07","2022","01","07","","-18.5","","-31.5","","-25.0","","43.0","","0.0","","","M","","M","","M","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2022-01-08","2022","01","08","","-4.0","","-30.2","","-17.1","","35.1","","0.0","","","M","","M","","M","","","17","","55",""
"-81.38","48.57","TIMMINS A","6078286","2022-01-09","2022","01","09","","-3.9","","-22.3","","-13.1","","31.1","","0.0","","2.9","","0.0","","2.9","","","","30","","62",""
"-81.38","48.57","TIMMINS A","6078286","2022-01-10","2022","01","10","","-22.2","","-36.0","","-29.1","","47.1","","0.0","","","M","","M","","M","","","31","","37",""
"-81.38","48.57","TIMMINS A","6078286","2022-01-11","2022","01","11","","-12.5","","-37.2","","-24.9","","42.9","","0.0","","","M","","M","","M","","","18","","49",""
"-81.38","48.57","TIMMINS A","6078286","2022-01-12","2022","01","12","","-9.9","","-31.2","","-20.6","","38.6","","0.0","","1.3","","0.0","","1.3","","","","35","","47",""
"-81.38","48.57","TIMMINS A","6078286","2022-01-13","2022","01","13","","-12.6","","-32.6","","-22.6","","40.6","","0.0","","0.6","","0.0","","0.6","","","","33","","42",""
"-81.38","48.57","TIMMINS A","6078286","2022-01-14","2022","01","14","","-24.9","","-38.1","","-31.5","","49.5","","0.0","","","M","","M","","M","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2022-01-15","2022","01","15","","-20.3","","-41.5","","-30.9","","48.9","","0.0","","","M","","M","","M","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2022-01-16","2022","01","16","","-8.3","","-20.3","","-14.3","","32.3","","0.0","","","M","","M","","M","","","20","","43",""
"-81.38","48.57","TIMMINS A","6078286","2022-01-17","2022","01","17","","-9.5","","-22.8","","-16.2","","34.2","","0.0","","","M","","M","","M","","","33","","43",""
"-81.38","48.57","TIMMINS A","6078286","2022-01-18","2022","01","18","","","M","","M","","M","","M","","M","","M","","M","","M","","","12","","35",""
"-81.38","48.57","TIMMINS A","6078286","2022-01-19","2022","01","19","","-15.0","","-28.6","","-21.8","","39.8","","0.0","","","M","","M","","M","","","32","","53",""
"-81.38","48.57","TIMMINS A","6078286","2022-01-20","2022","01","20","","-22.1","","-32.1","","-27.1","","45.1","","0.0","","","M","","M","","M","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2022-01-21","2022","01","21","","-9.5","","-31.6","","-20.6","","38.6","","0.0","","0.0","","0.0","","0.0","","","","21","","55",""
"-81.38","48.57","TIMMINS A","6078286","2022-01-22","2022","01","22","","-6.5","","-23.9","","-15.2","","33.2","","0.0","","","M","","M","","M","","","19","","64",""
"-81.38","48.57","TIMMINS A","6078286","2022-01-23","2022","01","23","","-19.1","","-31.9","","-25.5","","43.5","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2022-01-24","2022","01","24","","-16.6","","-30.6","","-23.6","","41.6","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2022-01-25","2022","01","25","","-22.3","","-38.1","","-30.2","","48.2","","0.0","","","M","","M","","M","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2022-01-26","2022","01","26","","-10.7","","-41.0","","-25.9","","43.9","","0.0","","","M","","M","","M","","","19","","64",""
"-81.38","48.57","TIMMINS A","6078286","2022-01-27","2022","01","27","","-7.7","","-30.4","","-19.1","","37.1","","0.0","","0.6","","1.0","","1.6","","","","33","","53",""
