"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-81.38","48.57","TIMMINS A","6078286","2023-01-01","2023","01","01","","-1.2","","-2.3","","-1.8","","19.8","","0.0","","0.0","","0.7","","0.7","","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2023-01-02","2023","01","02","","0.1","","-4.0","","-2.0","","20.0","","0.0","","0.0","","0.2","","0.2","","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2023-01-03","2023","01","03","","-0.9","","-6.3","","-3.6","","21.6","","0.0","","0.0","","0.0","T","0.0","T","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2023-01-04","2023","01","04","","-6.3","","-16.5","","-11.4","","29.4","","0.0","","0.0","","0.0","T","0.0","T","","","4","","36",""
"-81.38","48.57","TIMMINS A","6078286","2023-01-05","2023","01","05","","-11.6","","-18.2","","-14.9","","32.9","","0.0","","0.0","","0.0","T","0.0","T","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2023-01-06","2023","01","06","","-9.8","","-15.8","","-12.8","","30.8","","0.0","","0.0","","0.0","T","0.0","T","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2023-01-07","2023","01","07","","-12.2","","-18.6","","-15.4","","33.4","","0.0","","0.0","","0.0","T","0.0","T","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2023-01-08","2023","01","08","","0.0","","-17.1","","-8.6","","26.6","","0.0","","0.0","","0.0","T","0.0","T","","","23","","40",""
"-81.38","48.57","TIMMINS A","6078286","2023-01-09","2023","01","09","","-2.2","","-14.8","","-8.5","","26.5","","0.0","","0.0","","0.0","T","0.0","T","","","35","","41",""
"-81.38","48.57","TIMMINS A","6078286","2023-01-10","2023","01","10","","-11.1","","-20.4","","-15.8","","33.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-81.38","48.57","TIMMINS A","6078286","2023-01-11","2023","01","11","","-7.6","","-16.7","","-12.2","","30.2","","0.0","","0.0","","2.2","","2.2","","","","","M","","M"
